row_label,strat_type,sex,value,breakdown_cat_label,breakdown_var,outcome_var,table_id
CC - Industria del legno carta e stampa,sector,Male,13.9,upper secondary,education,hourly_wage,Tav.1
CC - Industria del legno carta e stampa,sector,Male,21.5,tertiary,education,hourly_wage,Tav.1
CC - Industria del legno carta e stampa,sector,Male,14.1,total,education,hourly_wage,Tav.1
CC - Industria del legno carta e stampa,sector,Total,12.4,≤ lower secondary,education,hourly_wage,Tav.1
CC - Industria del legno carta e stampa,sector,Total,13.6,upper secondary,education,hourly_wage,Tav.1
CC - Industria del legno carta e stampa,sector,Total,19.4,tertiary,education,hourly_wage,Tav.1
CC - Industria del legno carta e stampa,sector,Total,13.8,total,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,NA,≤ lower secondary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,13.7,upper secondary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,25.2,tertiary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,20.3,total,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,15.1,≤ lower secondary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,22.4,upper secondary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,29.7,tertiary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,22.4,total,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,15.1,≤ lower secondary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,21.5,upper secondary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,28.3,tertiary,education,hourly_wage,Tav.1
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,22.1,total,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,12.5,≤ lower secondary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,15.5,upper secondary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,18.8,tertiary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,16.2,total,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,15.1,≤ lower secondary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,18.3,upper secondary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,26.3,tertiary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,18.9,total,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,14.6,≤ lower secondary,education,hourly_wage,Tav.1
